new_id,legacy_ref,chapterId
CIT-0001,Q015,rights-responsibilities
CIT-0002,q-rr-013,rights-responsibilities
CIT-0003,q-rr-011,rights-responsibilities
CIT-0004,Q201,rights-responsibilities
CIT-0005,q-rr-034,rights-responsibilities
CIT-0006,q-rr-032,rights-responsibilities
CIT-0007,q-rr-027,rights-responsibilities
CIT-0008,Q194,rights-responsibilities
CIT-0009,Q012,rights-responsibilities
CIT-0010,Q217,rights-responsibilities
CIT-0011,q-rr-008,rights-responsibilities
CIT-0012,q-rr-035,rights-responsibilities
CIT-0013,Q361,rights-responsibilities
CIT-0014,q-rr-019,rights-responsibilities
CIT-0015,q-rr-031,rights-responsibilities
CIT-0016,Q013,rights-responsibilities
CIT-0017,Q394,rights-responsibilities
CIT-0018,Q465,rights-responsibilities
CIT-0019,q-rr-026,rights-responsibilities
CIT-0020,q-rr-007,rights-responsibilities
CIT-0021,Q196,rights-responsibilities
CIT-0022,q-rr-033,rights-responsibilities
CIT-0023,q-rr-003,rights-responsibilities
CIT-0024,q-rr-002,rights-responsibilities
CIT-0025,q-rr-014,rights-responsibilities
CIT-0026,q-rr-022,rights-responsibilities
CIT-0027,q-rr-030,rights-responsibilities
CIT-0028,Q197,rights-responsibilities
CIT-0029,Q375,rights-responsibilities
CIT-0030,Q002,rights-responsibilities
CIT-0031,q-rr-029,rights-responsibilities
CIT-0032,Q011,rights-responsibilities
CIT-0033,q-rr-028,rights-responsibilities
CIT-0034,q-rr-024,rights-responsibilities
CIT-0035,Q363,rights-responsibilities
CIT-0036,Q202,rights-responsibilities
CIT-0037,q-rr-017,rights-responsibilities
CIT-0038,q-rr-023,rights-responsibilities
CIT-0039,Q001,rights-responsibilities
CIT-0040,Q377,rights-responsibilities
CIT-0041,Q393,rights-responsibilities
CIT-0042,q-rr-004,rights-responsibilities
CIT-0043,Q014,rights-responsibilities
CIT-0044,Q476,rights-responsibilities
CIT-0045,q-rr-005,rights-responsibilities
CIT-0046,Q219,rights-responsibilities
CIT-0047,Q376,rights-responsibilities
CIT-0048,Q195,rights-responsibilities
CIT-0049,q-rr-012,rights-responsibilities
CIT-0050,Q017,rights-responsibilities
CIT-0051,Q200,rights-responsibilities
CIT-0052,Q016,rights-responsibilities
CIT-0053,Q199,rights-responsibilities
CIT-0054,q-rr-006,rights-responsibilities
CIT-0055,q-rr-015,rights-responsibilities
CIT-0056,q-rr-021,rights-responsibilities
CIT-0057,Q487,rights-responsibilities
CIT-0058,Q488,rights-responsibilities
CIT-0059,q-rr-018,rights-responsibilities
CIT-0060,Q362,rights-responsibilities
CIT-0061,Q504,rights-responsibilities
CIT-0062,q-rr-009,rights-responsibilities
CIT-0063,Q502,rights-responsibilities
CIT-0064,Q503,rights-responsibilities
CIT-0065,q-rr-020,rights-responsibilities
CIT-0066,q-rr-010,rights-responsibilities
CIT-0067,q-rr-001,rights-responsibilities
CIT-0068,q-rr-016,rights-responsibilities
CIT-0069,q-rr-025,rights-responsibilities
CIT-0070,Q501,rights-responsibilities
CIT-0071,Q203,rights-responsibilities
CIT-0072,Q198,rights-responsibilities
CIT-0073,Q204,who-we-are
CIT-0074,q-wwa-029,who-we-are
CIT-0075,Q209,who-we-are
CIT-0076,q-wwa-028,who-we-are
CIT-0077,Q027,who-we-are
CIT-0078,q-wwa-005,who-we-are
CIT-0079,Q216,who-we-are
CIT-0080,q-wwa-027,who-we-are
CIT-0081,q-wwa-025,who-we-are
CIT-0082,q-wwa-021,who-we-are
CIT-0083,q-wwa-013,who-we-are
CIT-0084,q-wwa-015,who-we-are
CIT-0085,Q212,who-we-are
CIT-0086,q-wwa-024,who-we-are
CIT-0087,q-wwa-008,who-we-are
CIT-0088,Q026,who-we-are
CIT-0089,q-wwa-002,who-we-are
CIT-0090,q-wwa-031,who-we-are
CIT-0091,Q477,who-we-are
CIT-0092,Q211,who-we-are
CIT-0093,Q210,who-we-are
